Tárgy kódja;Tárgy neve;Kredit;Felvételek száma;Várólista;Kurzus kódja;Kurzus típusa;Fõ/Várólista/Limit;;;Órarend inf.;Oktatók;Nyelv;Telephely;Megj.;Leírás;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;AE;Elmélet;12/0/20;;;SZE:08:15-10:00  (IL407);Dóbé Péter, Kápolnai Richárd Péter, Dr. Goldschmidt Balázs;angol;;;;;;;;;;594405436
BMEVIIIAA00;A programozás alapjai 2;7;1;;AL;Labor;12/0/20;;;"P:10:15-12:00  (IL407);";Dóbé Péter, Kápolnai Richárd Péter, Dr. Goldschmidt Balázs;angol;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;AG;Gyakorlat;12/0/20;;;"CS:12:15-14:00  (IB410);";Dóbé Péter, Kápolnai Richárd Péter, Dr. Goldschmidt Balázs;angol;;;;;;;;;594418371;
BMEVIIIAA00;A programozás alapjai 2;7;1;;E;Elmélet;423/0/550;;;"H:17:15-19:00  (QAF15,  ZH,  IB028,  QAF14,  Q-I,  IB027,  IE007,  IB026); K:12:15-14:00  (IB028); CS:08:15-10:00  (Z…);";Dr. Szeberényi Imre;magyar;;;;;;;;;594420602;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G06;Gyakorlat;17/0/35;;;"P:10:15-12:00  (IB145);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G17;Gyakorlat;24/0/30;;;"H:15:15-17:00  (IB310);";Dr. Szeberényi Imre;magyar;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G11;Gyakorlat;30/0/30;;;"SZE:08:15-10:00  (QB331);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;L01;Labor;84/0/180;;;"H:08:15-10:00  (R4J,  R4B,  R4L,  R4I,  R4K);";Dr. Szeberényi Imre;magyar;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;L02;Labor;134/0/148;;;"H:12:15-14:00  (R4J,  R4B,  R4L,  R4M,  R4I,  R4E,  R4K);";Dr. Szeberényi Imre;magyar;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;L03;Labor;35/0/76;;;"H:15:15-17:00  (R4L,  R4M);";Dr. Szeberényi Imre;magyar;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;L04;Labor;170/0/180;;;"K:08:15-10:00  (R4D,  R4J,  R4B,  R4O,  R4C,  R4P,  R4I,  R4M,  R4E,  R4K);";Dr. Szeberényi Imre;magyar;;;;;;;;;;
BMETE11AX24;Fizika 2i;4;1;;IB0;Elmélet;169/0/200;;;"H:08:15-10:00  (F29); H:17:15-19:00  (ZH,  E1B,  K234,  STFNAGY); SZE:15:15-17:00  (F29); CS:08:15-10:00  (ZH,  E…);";Dr. Kornis János;magyar;;;;;;;;;;
BMETE11AX24;Fizika 2i;4;1;;IN0;Elmélet;17/0/20;;;"K:14:15-16:00  (QBF11);";Dr. Kiss Gábor, Dr. Kocsányi László;német;;;;;;;;;;
BMETE11AX24;Fizika 2i;4;1;;IT;Elmélet;3/0/10;;;"K:08:15-10:00  (TANSZ); CS:10:15-12:00  (TANSZEK);";Dr. Bokor Nándor;angol;;;;;;;;;;
BMETE11AX24;Fizika 2i;4;1;;IA0;Elmélet;107/0/200;;;"H:17:15-19:00  (ZH,  E1B,  K234,  STFNAGY); SZE:15:15-17:00  (F29); CS:08:15-10:00  (ZH,  E1B,  E1A,  E1C,  CHFMAX);";Dr. Papp Zsolt József;magyar;;;;;;;;;;
BMETE11AX24;Fizika 2i;4;1;;IB3;Gyakorlat;34/0/35;;;"SZE:15:15-17:00  (E405);";Dr. Kornis János;magyar;;;;;;;;;;
BMETE11AX24;Fizika 2i;4;1;;IB5;Gyakorlat;34/0/35;;;"H:08:15-10:00  (T606);";Szemes Dorottya, Dr. Kornis János;magyar;;;;;;;;;;
